_id,name,count,free,timestamp,lat,lon,url
P1,Königsplatz,810,516,2015-01-07 18:22:49,51.71694575625038,8.747949600219725,http://www.paderborn.de/microsite/asp/parken_in_der_city/TG_Koenigsplatz.php
P2,Florianstraße,290,218,2015-01-07 18:22:49,51.715024727501714,8.743523955345154,http://www.paderborn.de/microsite/asp/parken_in_der_city/PP_Florianstrasse.php
P3,Neuhäuser Tor,540,420,2015-01-07 18:22:49,51.72079421539546,8.747305870056152,http://www.paderborn.de/microsite/asp/parken_in_der_city/PH_Neuhaeuser_Tor.php
P4,Paderhalle / Maspernplatz,670,459,2015-01-07 18:22:49,51.722990814236,8.754022121429443,http://www.paderborn.de/microsite/asp/parken_in_der_city/PP_Paderhalle.php
P5,Rolandsweg,540,118,2015-01-07 18:22:49,51.727363755321555,8.754692673683165,http://www.paderborn.de/microsite/asp/parken_in_der_city/PH_Rolandsweg.php
P6,Libori-Galerie,500,177,2015-01-07 18:22:49,51.71629766743732,8.757686018943787,http://www.paderborn.de/microsite/asp/parken_in_der_city/PH_Liborigalerie.php
P7,Le-Mans-Wall / Liboriberg,290,96,2015-01-07 18:22:49,51.714978196381416,8.753067255020142,http://www.paderborn.de/microsite/asp/parken_in_der_city/PP_Liboriberg.php
P8,Volksbank / Theater,170,126,2015-01-07 18:22:49,51.71776333196541,8.756720423698425,http://www.paderborn.de/microsite/asp/parken_in_der_city/Tiefgarage_Volksbank.php
P9,Domplatz,150,?,2015-01-07 18:22:49,51.71879691262835,8.756704330444334,http://www.paderborn.de/microsite/asp/parken_in_der_city/PP_Domplatz.php
P10,Westernmauer,140,?,2015-01-07 18:22:49,51.71744095631442,8.747268319129944,http://www.paderborn.de/microsite/asp/parken_in_der_city/PP_Westernmauer.php
P11,Am Westerntor,40,?,2015-01-07 18:22:49,51.716872639002936,8.746179342269897,http://www.paderborn.de/microsite/asp/parken_in_der_city/PP_Westerntor.php
P12,Rathenaustraße,147,?,2015-01-07 18:22:49,51.713967794533986,8.737274408340454,http://www.paderborn.de/microsite/asp/parken_in_der_city/Parkplatz_Rathenaustrasse.php
P13,Hauptbahnhof,89,?,2015-01-07 18:22:49,51.71248538781291,8.737328052520752,http://www.paderborn.de/microsite/asp/parken_in_der_city/parkplatz_Hauptbahnhof.php
